congress,chamber,icpsr,bioname,party_code,post_mean,post_median,post_sd,post_025,post_975,nominate_dim1,nominate_dim2
107,House,2605,"DINGELL, John David, Jr.",100,-1.3404244640569016,-1.3399576449151542,0.06246251045456517,-1.4638361631338004,-1.2194865338718206,-0.448,0.313
107,House,10713,"CONYERS, John, Jr.",100,-1.761602990734775,-1.7602458597146646,0.06272748486118826,-1.8858266827380932,-1.6404775518701111,-0.658,-0.512
107,House,10757,"MINK, Patsy Takemoto",100,-1.4316927503307766,-1.4311812710462446,0.06318352748480582,-1.5565561474476228,-1.3068829286724617,-0.513,-0.067
107,House,12036,"OBEY, David Ross",100,-1.5085839380660278,-1.5076235214338884,0.060892179375252146,-1.6307312931615634,-1.391236527092707,-0.45,-0.063
107,House,12041,"CRANE, Philip Miller",200,2.1013344767923985,2.1005610570543167,0.061432620514782245,1.9801610568802075,2.224375497704521,0.739,0.023
107,House,13035,"RANGEL, Charles B.",100,-1.3277219577736212,-1.3272848434019233,0.06313556797503438,-1.4530486094605093,-1.2034624696466938,-0.514,-0.341
107,House,13042,"SPENCE, Floyd Davidson",200,1.3307666880955624,1.3357383759050214,0.1641956825437192,0.9949382878694351,1.6388215805833939,0.32,0.185
107,House,13047,"YOUNG, Charles William (Bill)",200,0.9290770492112242,0.9277940790966815,0.0971351797435483,0.7434662699743088,1.124525056671156,0.325,-0.112
107,House,14015,"GILMAN, Benjamin Arthur",200,0.2642259752138876,0.26395747706933725,0.0554669583925588,0.15566875280869785,0.37273814952702766,0.043,-0.425
107,House,14045,"REGULA, Ralph Straus",200,0.8407699848531482,0.8386237340393768,0.0890381924430486,0.6724360429918702,1.0194440042637445,0.221,-0.223
107,House,14053,"STARK, Fortney Hillman (Pete), Jr.",100,-1.9181009121897392,-1.9170637174526732,0.06578094098835988,-2.0499383191651734,-1.7926989300561096,-0.631,-0.605
107,House,14066,"YOUNG, Donald Edwin",200,1.1728137416514302,1.1734665953112553,0.10730619670060945,0.9612045889854014,1.3812230382298814,0.283,0.022
107,House,14072,"MURTHA, John Patrick, Jr.",100,-0.6282845598218209,-0.6283176534950607,0.0546167781372579,-0.736503756130547,-0.5209602442365542,-0.265,0.569
